"Days","Rater","Compound","Garden","RoseType","BushID","FlowerID"
13,9,1,1,1,1,71269
12,12,1,1,1,1,69963
4,15,1,1,2,1,94898
21,6,1,1,2,1,69737
24,2,1,2,1,1,9546
24,3,1,2,2,1,33804
13,1,1,2,2,1,3828
21,9,2,1,1,1,46331
14,5,2,1,1,1,82974
24,12,2,1,2,1,16036
8,7,2,2,1,1,85962
24,4,2,2,1,1,34860
8,1,2,2,2,1,88297
14,5,2,2,2,1,44298
12,1,3,1,1,1,25693
16,5,3,1,2,1,59631
14,14,3,1,2,1,51463
17,3,3,2,1,1,64479
14,7,3,2,1,1,66621
24,9,3,2,2,1,8615
9,6,4,1,1,1,65762
4,10,4,1,1,1,72274
17,11,4,1,2,1,2884
11,7,4,1,2,1,21173
13,12,4,2,1,1,24080
8,3,4,2,2,1,93084
19,11,4,2,2,1,84405
18,8,5,1,1,1,70287
15,5,5,1,1,1,87471
12,13,5,1,2,1,46819
14,14,5,2,1,1,79574
8,10,5,2,1,1,49056
12,5,5,2,2,1,50498
19,7,6,1,1,1,8239
7,4,6,1,1,1,70445
15,7,6,1,2,1,19502
20,13,6,1,2,1,13613
15,14,6,2,1,1,68734
7,12,6,2,2,1,73402
24,10,6,2,2,1,58040
4,2,7,1,1,1,52571
15,14,7,1,1,1,8057
13,9,7,1,2,1,94091
6,11,7,2,1,1,75997
11,2,7,2,1,1,95952
7,10,7,2,2,1,76659
24,12,7,2,2,1,19778
12,10,8,1,1,1,46481
18,8,8,1,2,1,3169
16,14,8,1,2,1,30830
13,4,8,2,1,1,30194
15,10,8,2,1,1,27374
6,4,8,2,2,1,95743
14,8,9,1,1,1,90911
11,6,9,1,1,1,60128
8,11,9,1,2,1,46083
19,4,9,1,2,1,97820
12,15,9,2,1,1,29203
16,2,9,2,2,1,73973
7,11,9,2,2,1,31584
19,1,10,1,1,1,51617
13,11,10,1,1,1,13753
1,4,10,1,2,1,36580
16,3,10,2,1,1,44498
24,2,10,2,1,1,34603
16,14,10,2,2,1,58604
9,7,11,1,1,1,20026
5,2,11,1,1,1,77411
11,13,11,1,2,1,33656
7,8,11,1,2,1,70196
24,9,11,2,1,1,93816
21,1,11,2,2,1,18417
22,6,11,2,2,1,96480
14,15,12,1,1,1,87799
14,9,12,1,1,1,17764
24,12,12,1,2,1,85496
11,2,12,2,1,1,21538
7,13,12,2,1,1,26916
8,12,12,2,2,1,85778
20,2,12,2,2,1,10264
15,15,13,1,1,1,57299
6,8,13,1,2,1,29386
21,8,13,1,2,1,27390
17,3,13,2,1,1,31743
14,11,13,2,1,1,3983
23,2,13,2,2,1,96082
21,9,14,1,1,1,16142
21,3,14,1,1,1,59783
17,9,14,1,2,1,12293
12,5,14,1,2,1,44371
16,10,14,2,1,1,10049
8,1,14,2,2,1,14734
13,12,14,2,2,1,49198
20,2,15,1,1,1,10412
8,11,15,1,2,1,66315
20,1,15,1,2,1,45626
5,14,15,2,1,1,67695
23,2,15,2,1,1,94006
20,13,15,2,2,1,27114
23,2,1,1,1,2,75373
18,15,1,1,1,2,25021
17,2,1,1,2,2,73284
20,6,1,1,2,2,35978
5,15,1,2,1,2,63311
13,12,1,2,2,2,37101
2,13,1,2,2,2,53617
21,4,2,1,1,2,41207
23,1,2,1,1,2,78336
7,1,2,1,2,2,36669
24,12,2,2,1,2,93713
13,3,2,2,1,2,35686
13,5,2,2,2,2,30101
8,11,2,2,2,2,44173
16,14,3,1,1,2,10333
22,1,3,1,2,2,26612
15,3,3,1,2,2,88507
13,3,3,2,1,2,1556
15,11,3,2,1,2,76084
12,3,3,2,2,2,83726
6,3,4,1,1,2,71282
12,7,4,1,1,2,31333
9,4,4,1,2,2,79557
2,7,4,1,2,2,73298
8,6,4,2,1,2,67989
17,12,4,2,2,2,66738
11,13,4,2,2,2,71768
14,6,5,1,1,2,97020
15,13,5,1,1,2,16726
6,13,5,1,2,2,23797
5,9,5,2,1,2,75331
11,15,5,2,1,2,47921
13,11,5,2,2,2,92834
14,12,6,1,1,2,25577
9,11,6,1,1,2,17891
5,6,6,1,2,2,11535
8,5,6,1,2,2,10595
8,15,6,2,1,2,7508
16,7,6,2,2,2,40051
8,14,6,2,2,2,29733
4,3,7,1,1,2,37821
21,7,7,1,1,2,75880
9,1,7,1,2,2,98667
24,2,7,2,1,2,40557
16,13,7,2,1,2,22480
13,7,7,2,2,2,35188
18,15,7,2,2,2,75272
20,4,8,1,1,2,43657
