"Days","Rater","Compound","Garden","RoseType","BushID","FlowerID"
1,13,1,1,1,1,48341
10,13,1,1,1,1,72315
12,3,1,1,1,1,21942
11,10,1,1,1,1,84746
10,10,1,1,1,1,72508
10,14,1,1,1,1,69963
19,6,1,1,1,1,25021
22,13,1,1,1,1,47018
24,9,1,1,1,1,50221
15,11,1,1,1,1,34971
19,2,1,1,1,1,58017
7,12,1,1,1,1,19720
5,13,1,1,1,1,61719
5,9,1,1,2,1,21894
13,12,1,1,2,1,67952
3,1,1,1,2,1,78306
17,13,1,1,2,1,42771
7,3,1,1,2,1,64577
6,1,1,1,2,1,15069
20,8,1,1,2,1,50316
18,2,1,1,2,1,38898
24,7,1,1,2,1,49130
12,10,1,1,2,1,10639
10,13,1,1,2,1,79868
11,11,1,1,2,1,68603
14,1,1,1,2,1,25829
7,2,2,1,1,1,61527
24,8,2,1,1,1,35609
24,3,2,1,1,1,76649
13,3,2,1,1,1,94687
24,8,2,1,1,1,31191
19,1,2,1,1,1,70572
21,2,2,1,1,1,62014
19,1,2,1,1,1,52870
24,1,2,1,1,1,21947
5,4,2,1,1,1,80103
20,3,2,1,1,1,93610
24,8,2,1,1,1,89073
10,5,2,1,1,1,83746
24,8,2,1,2,1,76587
24,5,2,1,2,1,87329
19,2,2,1,2,1,75473
20,13,2,1,2,1,89640
20,13,2,1,2,1,87199
20,9,2,1,2,1,46891
16,5,2,1,2,1,52065
19,1,2,1,2,1,4110
5,3,2,1,2,1,11208
10,4,2,1,2,1,76622
18,14,2,1,2,1,42217
24,3,2,1,2,1,24159
22,13,2,1,2,1,42530
21,6,3,1,1,1,74253
17,4,3,1,1,1,95577
10,7,3,1,1,1,21699
24,3,3,1,1,1,27982
11,11,3,1,1,1,82655
16,1,3,1,1,1,79943
13,5,3,1,1,1,98122
16,13,3,1,1,1,37537
19,1,3,1,1,1,64103
24,2,3,1,1,1,17159
18,9,3,1,1,1,13985
7,7,3,1,1,1,71409
20,13,3,1,1,1,60766
21,15,3,1,2,1,69585
23,10,3,1,2,1,7269
14,3,3,1,2,1,50830
10,3,3,1,2,1,30610
24,13,3,1,2,1,23672
24,8,3,1,2,1,9530
16,1,3,1,2,1,78112
14,9,3,1,2,1,64479
24,1,3,1,2,1,1556
17,5,3,1,2,1,85402
24,2,3,1,2,1,24867
21,5,3,1,2,1,58648
17,4,3,1,2,1,93012
11,4,4,1,1,1,54416
18,5,4,1,1,1,69842
9,4,4,1,1,1,91439
14,12,4,1,1,1,8699
12,3,4,1,1,1,80994
22,6,4,1,1,1,53639
22,2,4,1,1,1,81207
24,13,4,1,1,1,47873
24,12,4,1,1,1,99308
12,14,4,1,1,1,60638
24,8,4,1,1,1,40167
7,6,4,1,1,1,82840
4,10,4,1,1,1,66679
11,7,4,1,2,1,72812
11,8,4,1,2,1,51909
17,1,4,1,2,1,4582
9,9,4,1,2,1,43569
19,1,4,1,2,1,75131
14,7,4,1,2,1,96262
11,9,4,1,2,1,74749
15,4,4,1,2,1,66134
18,9,4,1,2,1,3389
13,14,4,1,2,1,51258
14,7,4,1,2,1,25284
13,12,4,1,2,1,94844
10,10,4,1,2,1,28939
7,15,5,1,1,1,90113
3,10,5,1,1,1,35949
17,10,5,1,1,1,15270
10,7,5,1,1,1,80450
24,12,5,1,1,1,8
24,1,5,1,1,1,15208
15,15,5,1,1,1,16499
14,6,5,1,1,1,95887
14,5,5,1,1,1,7015
16,13,5,1,1,1,76854
15,12,5,1,1,1,96017
9,7,5,1,1,1,91413
10,4,5,1,1,1,26457
8,11,5,1,2,1,65455
24,13,5,1,2,1,77338
14,6,5,1,2,1,70770
18,4,5,1,2,1,33308
18,9,5,1,2,1,53322
16,4,5,1,2,1,65874
18,3,5,1,2,1,28992
15,12,5,1,2,1,1635
5,3,5,1,2,1,44967
15,6,5,1,2,1,21689
21,14,5,1,2,1,78064
19,8,5,1,2,1,61514
24,8,5,1,2,1,85460
24,6,6,1,1,1,94829
11,9,6,1,1,1,14661
15,10,6,1,1,1,89063
19,2,6,1,1,1,63455
19,1,6,1,1,1,43152
15,5,6,1,1,1,69114
24,10,6,1,1,1,47477
13,1,6,1,1,1,53306
24,7,6,1,1,1,92809
10,12,6,1,1,1,8239
24,4,6,1,1,1,25577
24,3,6,1,1,1,87869
24,8,6,1,1,1,97680
10,3,6,1,2,1,14426
10,14,6,1,2,1,29843
22,8,6,1,2,1,69501
23,7,6,1,2,1,94103
14,4,6,1,2,1,97479
20,6,6,1,2,1,2472
8,15,6,1,2,1,67281
24,3,6,1,2,1,37167
24,6,6,1,2,1,16729
18,3,6,1,2,1,42118
17,1,6,1,2,1,6817
14,7,6,1,2,1,76796
5,14,6,1,2,1,5878
24,15,7,1,1,1,47946
13,3,7,1,1,1,30760
10,6,7,1,1,1,42937
24,6,7,1,1,1,97399
13,13,7,1,1,1,36866
20,8,7,1,1,1,30739
18,10,7,1,1,1,68918
10,1,7,1,1,1,11131
15,9,7,1,1,1,83188
6,11,7,1,1,1,14233
12,7,7,1,1,1,83032
24,1,7,1,1,1,87516
12,4,7,1,1,1,21305
8,15,7,1,2,1,20549
14,10,7,1,2,1,66306
10,6,7,1,2,1,30565
21,1,7,1,2,1,29051
18,15,7,1,2,1,22638
10,15,7,1,2,1,60259
12,12,7,1,2,1,77753
10,12,7,1,2,1,85355
13,5,7,1,2,1,56684
9,11,7,1,2,1,34541
15,8,7,1,2,1,67142
